,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
0,ЦСКА (София),1,0,win,Ясен Петров,False,['Гара Дембеле'],2010-08-01,"""А"" Футболна група",Гара Дембеле,0
1,Локомотив (София),3,1,win,Ясен Петров,True,"['Гара Дембеле', 'Гара Дембеле', 'Гара Дембеле', 'Преслав Йорданов']",2010-08-09,"""А"" Футболна група",Гара Дембеле,0
2,Черноморец Бургас (Бургас),1,2,loss,Ясен Петров,False,"['Георги Андонов', 'Рикардо Андре', 'Александър Александров']",2010-08-15,"""А"" Футболна група",Георги Андонов,0
3,Калиакра (Каварна),3,0,win,Ясен Петров,True,"['Антон Петров (аг)', 'Александър Александров', 'Исмаил Иса']",2010-08-22,"""А"" Футболна група",Антон Петров (аг),0
4,Видима-Раковски (Севлиево),2,1,win,Ясен Петров,False,"['Гара Дембеле', 'Дарко Тасевски', 'Герасим Заков']",2010-08-30,"""А"" Футболна група",Герасим Заков,0
5,Миньор (Перник),4,0,win,Ясен Петров,True,"['Жоаозиньо', 'Гара Дембеле', 'Гара Дембеле', 'Гара Дембеле']",2010-09-12,"""А"" Футболна група",Гара Дембеле,0
6,Черно море (Варна),3,2,win,Ясен Петров,False,"['Даниел Младенов', 'Йордан Милиев', 'Георги Божилов', 'Гара Дембеле', 'Георги Илиев']",2010-09-20,"""А"" Футболна група",Даниел Младенов,0
7,Берое (Стара Загора),2,1,win,Ясен Петров,True,"['Гара Дембеле', 'Петър Димитров', 'Христо Йовов']",2010-09-26,"""А"" Футболна група",Петър Димитров,0
8,Сливен 2000 (Сливен),1,1,tie,Ясен Петров,False,"['Дарко Тасевски', 'Евгени Игнатов']",2010-10-04,"""А"" Футболна група",Евгени Игнатов,0
9,Пирин Благоевград (Благоевград),4,1,win,Ясен Петров,True,"['Борис Кондев', 'Гара Дембеле', 'Гара Дембеле', 'Мариян Огнянов', 'Гара Дембеле']",2010-10-16,"""А"" Футболна група",Гара Дембеле,0
10,Литекс (Ловеч),1,2,loss,Ясен Петров,False,"['Гара Дембеле', 'Христо Янев', 'Светослав Тодоров']",2010-10-25,"""А"" Футболна група",Светослав Тодоров,0
11,Локомотив 1936 (Пловдив),1,2,loss,Ясен Петров,True,"['Здравко Лазаров', 'Базиле де Карвальо', 'Мариян Огнянов']",2010-10-30,"""А"" Футболна група",Мариян Огнянов,0
12,Славия 1913 (София),2,2,tie,Ясен Петров,False,"['Сержиньо Грийн', 'Николай Божов', 'Галин Иванов', 'Жоаозиньо']",2010-11-07,"""А"" Футболна група",Галин Иванов,0
13,Академик (София),1,0,win,Ясен Петров,True,['Исмаил Иса'],2010-11-13,"""А"" Футболна група",Исмаил Иса,0
14,Монтана 1921 (Монтана),3,0,win,Ясен Петров,False,"['Даниел Младенов', 'Гара Дембеле', 'Гара Дембеле']",2010-11-27,"""А"" Футболна група",Гара Дембеле,0
15,ЦСКА (София),1,3,loss,Ясен Петров,True,"['Мишел Платини', 'Мишел Платини', 'Апостол Попов', 'Костадин Стоянов (аг)']",2011-02-26,"""А"" Футболна група",Мишел Платини,0
16,Локомотив (София),2,0,win,Ясен Петров,False,"['Гара Дембеле', 'Ивайло Димитров (аг)']",2011-03-06,"""А"" Футболна група",Гара Дембеле,0
17,Черноморец Бургас (Бургас),1,0,win,Ясен Петров,True,['Дарко Тасевски'],2011-03-12,"""А"" Футболна група",Дарко Тасевски,0
18,Видима-Раковски (Севлиево),2,0,win,Ясен Петров,True,"['Гара Дембеле', 'Исмаил Иса']",2011-04-02,"""А"" Футболна група",Гара Дембеле,0
19,Миньор (Перник),0,0,tie,Ясен Петров,False,,2011-04-10,"""А"" Футболна група",,0
20,Черно море (Варна),1,0,win,Ясен Петров,True,['Иво Иванов'],2011-04-17,"""А"" Футболна група",Иво Иванов,0
21,Берое (Стара Загора),3,2,win,Ясен Петров,False,"['Христо Йовов', 'Евгени Йорданов', 'Александър Александров', 'Владислав Златинов (д)', 'Жанвион Юлу-Матондо']",2011-04-24,"""А"" Футболна група",Евгени Йорданов,1
22,Сливен 2000 (Сливен),5,0,win,Ясен Петров,True,"['Гара Дембеле', 'Жанвион Юлу-Матондо', 'Гара Дембеле', 'Даниел Младенов', 'Гара Дембеле']",2011-05-01,"""А"" Футболна група",Гара Дембеле,0
23,Пирин Благоевград (Благоевград),3,2,win,Ясен Петров,False,"['Иван Цветков', 'Жанвион Юлу-Матондо', 'Гара Дембеле', 'Христо Йовов', 'Иван Цветков (д)']",2011-05-04,"""А"" Футболна група",Иван Цветков,1
24,Литекс (Ловеч),2,0,win,Ясен Петров,True,"['Гара Дембеле', 'Христо Йовов']",2011-05-08,"""А"" Футболна група",Гара Дембеле,0
25,Локомотив 1936 (Пловдив),3,2,win,Ясен Петров,False,"['Базле де Карвальо', 'Дарко Тасевски', 'Гара Дембеле', 'Гара Дембеле', 'Здравко Лазаров (д)']",2011-05-14,"""А"" Футболна група",Гара Дембеле,1
26,Славия 1913 (София),3,0,win,Ясен Петров,True,"['Христо Йовов', 'Владимир Гаджев', 'Христо Йовов']",2011-05-18,"""А"" Футболна група",Христо Йовов,0
27,Академик (София),3,0,win,Ясен Петров,False,"['Владимир Гаджев', 'Даниел Младенов', 'Даниел Младенов']",2011-05-21,"""А"" Футболна група",Даниел Младенов,0
28,Монтана 1921 (Монтана),3,0,win,Ясен Петров,False,"['Веселин Минев', 'Гара Дембеле', 'Христо Йовов']",2011-05-27,"""А"" Футболна група",Веселин Минев,0
29,Банско,3,1,win,Ясен Петров,False,"['Гара Дембеле', 'Слави Шопов (аг)', 'Павел Петков', 'Гара Дембеле']",2010-11-20,Купа на България,Гара Дембеле,0
30,Берое (Стара Загора),1,0,win,Ясен Петров,True,['Владимир Гаджев'],2010-12-08,Купа на България,Владимир Гаджев,0
31,Дъндолк,6,0,win,Ясен Петров,True,"['Христо Йовов', 'Даниел Младенов', 'Гара Дембеле', 'Даниел Младенов', 'Исмаил Иса', 'Исмаил Иса']",2010-07-15,Лига Европа,Даниел Младенов,0
32,Дъндолк,2,0,win,Ясен Петров,False,"['Гара Дембеле', 'Гара Дембеле']",2010-07-22,Лига Европа,Гара Дембеле,0
33,Калмар,1,1,tie,Ясен Петров,False,"['Жоаозиньо', 'Абиола Дауда']",2010-07-29,Лига Европа,Абиола Дауда,0
34,Калмар,5,2,win,Ясен Петров,True,"['Гара Дембеле', 'Даниел Младенов', 'Гара Дембеле', 'Матиас Йохансон', 'Ерик Исраелсон', 'Исмаил Иса', 'Исмаил Иса']",2010-08-05,Лига Европа,Гара Дембеле,0
35,АИК (Стокхолм),0,0,tie,Ясен Петров,False,,2010-08-19,Лига Европа,,0
36,АИК (Стокхолм),2,1,win,Ясен Петров,True,"['Мохамед Бангура', 'Даниел Младенов', 'Гара Дембеле']",2010-08-26,Лига Европа,Даниел Младенов,0
37,Гент,3,2,win,Ясен Петров,True,"['Рандал Асофейфа', 'Жоаозиньо', 'Марко Шулер', 'Гара Дембеле', 'Сержиньо Грийн']",2010-09-16,Лига Европа,Рандал Асофейфа,0
38,Спортинг (Лисабон),0,5,loss,Ясен Петров,False,,2010-09-30,Лига Европа,,0
39,Лил,0,1,loss,Ясен Петров,False,,2010-10-21,Лига Европа,,0
40,Лил,2,2,tie,Ясен Петров,True,"['Гара Дембеле', 'Туло Де Мело', 'Владимир Гаджев', 'Иво Иванов']",2010-11-04,Лига Европа,Иво Иванов,0
41,Гент,0,1,loss,Ясен Петров,False,,2010-12-01,Лига Европа,,0
42,Спортинг (Лисабон),1,0,win,Ясен Петров,True,['Даниел Младенов'],2010-12-16,Лига Европа,Даниел Младенов,0
43,Славия 1913 (София),1,0,win,Георги Иванов,True,['Иван Цветков'],2011-08-08,"""А"" Футболна група",Иван Цветков,0
44,Черно море (Варна),1,3,loss,Георги Иванов,False,"['Илиян Капитанов', 'Ермес Паломино', 'Иван Цветков', 'Димитър Петков']",2011-08-13,"""А"" Футболна група",Илиян Капитанов,0
45,Монтана 1921 (Монтана),1,0,win,Георги Иванов,True,['Шюрд  Арс'],2011-08-21,"""А"" Футболна група",Шюрд  Арс,0
46,Ботев (Враца),3,0,win,Георги Иванов,True,"['Владимир Гаджев', 'Шюрд  Арс', 'Симеон Райков']",2011-08-27,"""А"" Футболна група",Шюрд  Арс,0
47,Миньор (Перник),1,0,win,Георги Иванов,False,['Даниел Младенов'],2011-09-11,"""А"" Футболна група",Даниел Младенов,0
48,Литекс (Ловеч),3,2,win,Георги Иванов,True,"['Дарко Тасевски', 'Симеон Райков', 'Деян Джерманович', 'Максим Жос', 'Владимир Гаджев']",2011-09-17,"""А"" Футболна група",Дарко Тасевски,0
49,Лудогорец 1945 (Разград),1,2,loss,Георги Иванов,False,"['Мирослав Иванов', 'Владимир Гаджев', 'Емил Гъргоров']",2011-09-25,"""А"" Футболна група",Мирослав Иванов,0
50,Локомотив (София),4,0,win,Георги Иванов,True,"['Христо Йовов', 'Шюрд  Арс', 'Христо Йовов', 'Дарко Тасевски']",2011-10-02,"""А"" Футболна група",Христо Йовов,0
51,Черноморец Бургас (Бургас),0,2,loss,Георги Иванов,False,,2011-10-16,"""А"" Футболна група",,0
52,Калиакра (Каварна),3,2,win,Георги Иванов,True,"['Тони Калво', 'Четин Садула', 'Даниел Младенов', 'Владимир Гаджев', 'Якуб Хронец']",2011-10-21,"""А"" Футболна група",Якуб Хронец,0
53,ЦСКА (София),0,1,loss,Георги Иванов,False,,2011-10-28,"""А"" Футболна група",,0
54,Локомотив 1926 (Пловдив),3,2,win,Антони Здравков,True,"['Иван Цветков', 'Базиле де Карвальо', 'Йордан Милиев', 'Шюрд  Арс', 'Шюрд  Арс']",2011-11-06,"""А"" Футболна група",Шюрд  Арс,0
55,Берое (Стара Загора),2,1,win,Николай Костов,False,"['Христо Йовов', 'Христо Йовов', 'Владислав Златинов']",2011-11-13,"""А"" Футболна група",Христо Йовов,0
56,Видима-Раковски (Севлиево),2,1,win,Николай Костов,True,"['Дарко Тасевски', 'Георги Какалов', 'Шюрд  Арс']",2011-11-19,"""А"" Футболна група",Дарко Тасевски,0
57,Светкавица 1922 (Търговище),1,0,win,Николай Костов,False,['Даниел Димов'],2011-11-27,"""А"" Футболна група",Даниел Димов,0
58,Славия 1913 (София),3,0,win,Николай Костов,False,"['Иван Цветков', 'Дарко Тасевски', 'Тони Калво']",2012-03-21,"""А"" Футболна група",Дарко Тасевски,0
59,Черно море (Варна),2,1,win,Николай Костов,True,"['Иван Цветков', 'Кристовао Рамос', 'Дончо Атанасов']",2012-03-04,"""А"" Футболна група",Кристовао Рамос,0
60,Монтана 1921 (Монтана),3,0,win,Николай Костов,False,"['Жозе Жуниор', 'Иван Цветков', 'Иван Цветков']",2012-03-11,"""А"" Футболна група",Иван Цветков,0
61,Ботев (Враца),2,0,win,Николай Костов,False,"['Орлин Старокин', 'Владимир Гаджев']",2012-03-18,"""А"" Футболна група",Владимир Гаджев,0
62,Миньор (Перник),0,1,loss,Николай Костов,True,,2012-03-25,"""А"" Футболна група",,0
63,Литекс (Ловеч),0,1,loss,Георги Иванов,False,,2012-03-29,"""А"" Футболна група",,0
64,Лудогорец 1945 (Разград),0,1,loss,Георги Иванов,True,,2012-04-02,"""А"" Футболна група",,0
65,Локомотив (София),1,1,tie,Викторио Павлов,False,"['Даниел Пеев', 'Жозе Жуниор']",2012-04-08,"""А"" Футболна група",Жозе Жуниор,0
66,Черноморец Бургас (Бургас),2,2,tie,Ясен Петров,True,"['Яник Боли', 'Тони Калво', 'Христо Йовов', 'Аатиф Шаешу']",2012-04-18,"""А"" Футболна група",Христо Йовов,0
67,Калиакра (Каварна),4,1,win,Ясен Петров,False,"['Тони Калво', 'Герасим Заков', 'Христо Йовов', 'Христо Йовов', 'Тони Калво']",2012-04-23,"""А"" Футболна група",Христо Йовов,0
68,ЦСКА (София),1,0,win,Ясен Петров,False,['Кристовао Рамос'],2012-04-29,"""А"" Футболна група",Кристовао Рамос,0
69,Локомотив 1926 (Пловдив),2,3,loss,Ясен Петров,False,"['Христо Йовов', 'Симеон Райков', 'Базиле де Карвальо', 'Йордан Тодоров', 'Христо Златински (д)']",2012-05-06,"""А"" Футболна група",Йордан Тодоров,1
70,Берое (Стара Загора),2,0,win,Ясен Петров,True,"['Иван Цветков', 'Жозе Жуниор']",2012-05-11,"""А"" Футболна група",Иван Цветков,0
71,Видима-Раковски (Севлиево),6,1,win,Ясен Петров,False,"['Жозе Жуниор', 'Жозе Жуниор', 'Тони Калво', 'Даниел Димов', 'Ангел Русев (д)', 'Жозе Жуниор', 'Симеон Райков']",2012-05-19,"""А"" Футболна група",Жозе Жуниор,1
72,Светкавица 1922 (Търговище),7,0,win,Ясен Петров,True,"['Владимир Гаджев', 'Тони Калво', 'Иван Цветков', 'Кристовао Рамос', 'Сюлейман Диамутен', 'Иван Цветков', 'Иван Цветков']",2012-05-23,"""А"" Футболна група",Иван Цветков,0
73,Банско,1,0,win,Николай Костов,False,['Иван Цветков'],2011-11-23,Купа на България,Иван Цветков,0
74,Етър 1924 (Велико Търново),3,0,win,Николай Костов,False,"['Иван Цветков', 'Даниел Димов', 'Иван Цветков']",2011-12-03,Купа на България,Иван Цветков,0
75,Локомотив 1926 (Пловдив),1,2,loss,Николай Костов,False,"['Тони Калво', 'Михаил Венков', 'Здравко Лазаров']",2012-03-15,Купа на България,Здравко Лазаров,0
76,Спартак (Търнава),2,1,win,Георги Иванов,True,"['Ладислав Томачек (д)', 'Владимир Гаджев', 'Шюрд  Арс']",2011-07-28,Лига Европа,Ладислав Томачек (д),1
77,Черноморец Бургас (Бургас),1,0,win,Илиан Илиев,True,['Базиле де Карвальо'],2012-08-11,"""А"" Футболна група",Базиле де Карвальо,0
78,Ботев (Пловдив),3,1,win,Илиан Илиев,True,"['Симеон Райков', 'Симеон Райков', 'Артур Енрике', 'Станислав Ангелов']",2012-08-19,"""А"" Футболна група",Симеон Райков,0
79,Монтана 1921 (Монтана),2,0,win,Илиан Илиев,False,"['Базиле де Карвальо', 'Дъстли Мюлдер']",2012-08-25,"""А"" Футболна група",Дъстли Мюлдер,0
80,Черно море (Варна),4,0,win,Илиан Илиев,True,"['Кристовао Рамос', 'Базиле де Карвальо', 'Марсиньо', 'Базиле де Карвальо']",2012-08-31,"""А"" Футболна група",Базиле де Карвальо,0
81,Берое (Стара Загора),2,1,win,Илиан Илиев,False,"['Давид Каядо (д)', 'Марсиньо', 'Базиле де Карвальо']",2012-09-16,"""А"" Футболна група",Базиле де Карвальо,1
82,Пирин (Гоце Делчев),2,0,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Илиян Йорданов']",2012-09-22,"""А"" Футболна група",Илиян Йорданов,0
83,Локомотив (София),1,1,tie,Илиан Илиев,False,"['Базиле де Карвальо', 'Антонио Павлов']",2012-09-29,"""А"" Футболна група",Антонио Павлов,0
84,Литекс (Ловеч),2,1,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Георги Миланов', 'Симеон Райков']",2012-10-05,"""А"" Футболна група",Георги Миланов,0
85,ЦСКА (София),0,1,loss,Илиан Илиев,False,,2012-10-20,"""А"" Футболна група",,0
86,Локомотив 1926 (Пловдив),2,1,win,Илиан Илиев,True,"['Ромен Ели', 'Жоао Силва', 'Рангел Абушев']",2012-10-27,"""А"" Футболна група",Рангел Абушев,0
87,Миньор (Перник),4,0,win,Илиан Илиев,False,"['Сабри Бумелаха (аг)', 'Базиле де Карвальо', 'Владимир Гаджев', 'Кристовао Рамос']",2012-11-04,"""А"" Футболна група",Кристовао Рамос,0
88,Ботев (Враца),2,0,win,Илиан Илиев,True,"['Марсиньо', 'Дъстли Мюлдер']",2012-11-10,"""А"" Футболна група",Дъстли Мюлдер,0
89,Лудогорец 1945 (Разград),1,2,loss,Илиан Илиев,False,"['Станислав Генчев', 'Илиян Йорданов', 'Станислав Генчев']",2012-11-18,"""А"" Футболна група",Станислав Генчев,0
90,Етър 1924 (Велико Търново),7,1,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Базиле де Карвальо', 'Базиле де Карвальо', 'Антонио Вутов', 'Базиле де Карвальо', 'Ивайло Русев (аг)', 'Нерилон Нери', 'Илиян Йорданов']",2012-11-28,"""А"" Футболна група",Базиле де Карвальо,0
91,Славия 1913 (София),3,1,win,Илиан Илиев,False,"['Даниел Димов', 'Здравко Лазаров', 'Жоао Силва', 'Жоао Силва']",2012-12-08,"""А"" Футболна група",Жоао Силва,0
92,Черноморец Бургас (Бургас),2,0,win,Николай Митов,False,"['Базиле де Карвальо', 'Базиле де Карвальо']",2013-03-03,"""А"" Футболна група",Базиле де Карвальо,0
93,Ботев (Пловдив),0,2,loss,Илиан Илиев,False,,2013-03-09,"""А"" Футболна група",,0
94,Монтана 1921 (Монтана),0,0,tie,Илиан Илиев,True,,2013-03-17,"""А"" Футболна група",,0
95,Черно море (Варна),1,1,tie,Илиан Илиев,False,"['Георги Божилов', 'Рене Михелич']",2013-03-30,"""А"" Футболна група",Рене Михелич,0
96,Берое (Стара Загора),2,0,win,Илиан Илиев,True,"['Илиян Йорданов', 'Базиле де Карвальо']",2013-04-07,"""А"" Футболна група",Илиян Йорданов,0
97,Пирин (Гоце Делчев),1,1,tie,Илиан Илиев,False,"['Ромен Ели', 'Любомир Витанов (д)']",2013-04-10,"""А"" Футболна група",Ромен Ели,1
98,Локомотив (София),2,1,win,Николай Митов,True,"['Базиле де Карвальо', 'Крум Бибишков', 'Жоао Силва']",2013-04-13,"""А"" Футболна група",Крум Бибишков,0
99,Литекс (Ловеч),2,1,win,Николай Митов,False,"['Гари Родригес', 'Христо Йовов', 'Илия Миланов', 'Жоао Силва']",2013-04-20,"""А"" Футболна група",Жоао Силва,0
100,ЦСКА (София),2,1,win,Николай Митов,False,"['Христо Йовов', 'Марсиньо', 'Жоао Силва']",2013-04-27,"""А"" Футболна група",Жоао Силва,0
101,Локомотив 1926 (Пловдив),1,0,win,Николай Митов,False,['Кристовао Рамос'],2013-05-02,"""А"" Футболна група",Кристовао Рамос,0
102,Миньор (Перник),2,1,win,Николай Митов,True,"['Жоао Силва', 'Томислав Павлов', 'Гари Родригес']",2013-05-06,"""А"" Футболна група",Жоао Силва,0
103,Ботев (Враца),3,1,win,Николай Митов,False,"['Андрей Атанасов', 'Базиле де Карвальо', 'Гари Родригес', 'Жоао Силва']",2013-05-10,"""А"" Футболна група",Жоао Силва,0
104,Лудогорец 1945 (Разград),1,0,win,Николай Митов,True,['Мичел Бургзорг (аг)'],2013-05-18,"""А"" Футболна група",Мичел Бургзорг (аг),0
105,Славия 1913 (София),1,1,tie,Николай Митов,True,"['Базиле де Карвальо', 'Димитър Везалов']",2013-05-25,"""А"" Футболна група",Базиле де Карвальо,0
106,Пирин 2002 (Разлог),3,0,win,Илиан Илиев,True,"['Кристовао Рамос', 'Жоао Силва', 'Христо Йовов']",2012-10-31,Купа на България,Жоао Силва,0
107,Пирин 2002 (Разлог),1,0,win,Илиан Илиев,False,['Жоао Силва'],2012-11-24,Купа на България,Жоао Силва,0
108,Черно море (Варна),4,0,win,Илиан Илиев,True,"['Дъстли Мюлдер', 'Дъстли Мюлдер', 'Жоао Силва', 'Жоао Силва']",2012-12-02,Купа на България,Жоао Силва,0
109,Черно море (Варна),0,1,loss,Илиан Илиев,False,,2012-12-15,Купа на България,,0
110,Литекс (Ловеч),1,0,win,Илиан Илиев,True,['Гари Родригес'],2013-03-13,Купа на България,Гари Родригес,0
111,Литекс (Ловеч),1,2,loss,Илиан Илиев,False,"['Дъстли Мюлдер', 'Георги Миланов', 'Исмаил Иса']",2013-04-03,Купа на България,Георги Миланов,0
112,Локомотив (София),3,1,win,Николай Митов,True,"['Гари Родригес', 'Гари Родригес', 'Димитър Илиев', 'Стефан Велев']",2013-04-17,Купа на България,Гари Родригес,0
113,Локомотив (София),0,0,tie,Николай Митов,False,,2013-04-24,Купа на България,,0
114,Сараево,1,0,win,Илиан Илиев,True,['Симеон Райков'],2012-07-19,Лига Европа,Симеон Райков,0
115,Сараево,1,3,loss,Илиан Илиев,False,"['Саид Хюсеинович', 'Асмир Сулич', 'Базиле де Карвальо', 'Саид Хюсеинович']",2012-07-26,Лига Европа,Саид Хюсеинович,0
116,Ботев (Пловдив),1,2,loss,Викторио Павлов,False,"['Гари Родригес', 'Тодор Неделев', 'Тодор Неделев']",2013-07-21,"""А"" Футболна група - първи етап",Тодор Неделев,0
117,Локомотив 1926 (Пловдив),1,2,loss,Славиша Йоканович,True,"[""Аласан Н'Диайе"", 'Цветан Генков', 'Мартин Камбуров']",2013-07-28,"""А"" Футболна група - първи етап",Аласан Н'Диайе,0
118,Пирин (Гоце Делчев),2,0,win,Славиша Йоканович,False,"['Цветан Генков', 'Гари Родригес']",2013-08-04,"""А"" Футболна група - първи етап",Гари Родригес,0
119,Берое (Стара Загора),0,0,tie,Славиша Йоканович,True,,2013-08-11,"""А"" Футболна група - първи етап",,0
120,Литекс (Ловеч),1,1,tie,Славиша Йоканович,False,"['Гари Родригес', 'Вилмар Хордан Хил']",2013-08-18,"""А"" Футболна група - първи етап",Вилмар Хордан Хил,0
121,Черно море (Варна),1,1,tie,Славиша Йоканович,True,"['Гари Родригес', 'Симеон Райков']",2013-08-25,"""А"" Футболна група - първи етап",Гари Родригес,0
122,Любимец 2007 (Любимец),2,0,win,Славиша Йоканович,False,"['Цветан Генков', 'Антонио Вутов']",2013-09-01,"""А"" Футболна група - първи етап",Цветан Генков,0
123,Лудогорец 1945 (Разград),0,2,loss,Славиша Йоканович,True,,2013-09-15,"""А"" Футболна група - първи етап",,0
124,Черноморец Бургас (Бургас),3,1,win,Славиша Йоканович,False,"['Мирослав Иванов', 'Карлос Фонсека', 'Оливейра (аг)', 'Гари Родригес']",2013-09-21,"""А"" Футболна група - първи етап",Мирослав Иванов,0
125,Нефтохимик 1962 (Бургас),6,0,win,Славиша Йоканович,True,"['Даниел Димов', 'Мирослав Иванов', 'Пламен Димов', 'Даниел Димов', 'Владимир Гаджев', 'Владимир Гаджев']",2013-09-25,"""А"" Футболна група - първи етап",Владимир Гаджев,0
126,Славия 1913 (София),1,0,win,Славиша Йоканович,False,['Ларсен Туре'],2013-09-28,"""А"" Футболна група - първи етап",Ларсен Туре,0
127,Локомотив (София),0,0,tie,Славиша Йоканович,True,,2013-10-04,"""А"" Футболна група - първи етап",,0
128,ЦСКА (София),0,3,loss,Антони Здравков,False,,2013-10-19,"""А"" Футболна група - първи етап",,0
129,Ботев (Пловдив),1,0,win,Антони Здравков,True,['Гари Родригес'],2013-10-26,"""А"" Футболна група - първи етап",Гари Родригес,0
130,Локомотив 1926 (Пловдив),3,2,win,Антони Здравков,False,"['Владимир Гаджев', 'Дани Кики', 'Гари Родригес', 'Стелиос Илиадис', 'Цветан Генков']",2013-10-31,"""А"" Футболна група - първи етап",Гари Родригес,0
131,Пирин (Гоце Делчев),4,1,win,Антони Здравков,True,"['Димитър Макриев', 'Гари Родригес', 'Димитър Макриев', 'Костадин Башов (д)', 'Илиян Йорданов']",2013-11-03,"""А"" Футболна група - първи етап",Димитър Макриев,1
132,Берое (Стара Загора),0,1,loss,Антони Здравков,False,,2013-11-09,"""А"" Футболна група - първи етап",,0
133,Литекс (Ловеч),4,1,win,Антони Здравков,True,"['Даниел Димов', 'Орлин Старокин', 'Кевин Бру', 'Вилмар Хордан Хил', 'Орлин Старокин']",2013-11-23,"""А"" Футболна група - първи етап",Орлин Старокин,0
134,Черно море (Варна),1,2,loss,Антони Здравков,False,"['Георги Илиев', 'Бакари', 'Ларсен Туре']",2013-11-30,"""А"" Футболна група - първи етап",Ларсен Туре,0
135,Любимец 2007 (Любимец),3,0,win,Антони Здравков,True,"['Славчо Шоколаров (аг)', 'Гари Родригес', 'Антонио Вутов']",2013-12-04,"""А"" Футболна група - първи етап",Гари Родригес,0
136,Лудогорец 1945 (Разград),1,0,win,Антони Здравков,False,['Ларсен Туре'],2013-12-07,"""А"" Футболна група - първи етап",Ларсен Туре,0
137,Черноморец Бургас (Бургас),2,0,win,Антони Здравков,True,"['Ларсен Туре', 'Димитър Макриев']",2013-12-12,"""А"" Футболна група - първи етап",Димитър Макриев,0
138,Нефтохимик 1962 (Бургас),6,1,win,Антони Здравков,False,"['Орлин Старокин', 'Димитър Макриев', 'Димитър Макриев', 'Гари Родригес', 'Алехандро Перес', 'Гари Родригес', 'Илиян Йорданов']",2013-12-15,"""А"" Футболна група - първи етап",Гари Родригес,0
139,Славия 1913 (София),2,2,tie,Антони Здравков,True,"['Атанас Курдов', 'Димитър Макриев', 'Кире Ристевски', 'Пламен Крумов']",2014-02-22,"""А"" Футболна група - първи етап",Пламен Крумов,0
140,Локомотив (София),0,1,loss,Антони Здравков,False,,2014-02-28,"""А"" Футболна група - първи етап",,0
141,ЦСКА (София),0,1,loss,Антони Здравков,False,,2014-03-08,"""А"" Футболна група - първи етап",,0
142,ЦСКА (София),0,1,loss,Антони Здравков,False,,2014-03-15,"""А"" Футболна група - втори етап",,0
143,Ботев (Пловдив),2,0,win,Елин Топузаков,True,"['Даниел Димов', 'Димитър Макриев']",2014-03-22,"""А"" Футболна група - втори етап",Димитър Макриев,0
144,Локомотив 1926 (Пловдив),2,0,win,Елин Топузаков,False,"['Валери Божинов', 'Владимир Гаджев']",2014-03-27,"""А"" Футболна група - втори етап",Валери Божинов,0
145,Черно море (Варна),1,0,win,Елин Топузаков,True,['Даниел Димов'],2014-04-06,"""А"" Футболна група - втори етап",Даниел Димов,0
146,Лудогорец 1945 (Разград),0,2,loss,Елин Топузаков,False,,2014-04-09,"""А"" Футболна група - втори етап",,0
147,Литекс (Ловеч),1,2,loss,Елин Топузаков,True,"['Армандо Ваюши', 'Румен Руменов', 'Владислав Мисяк']",2014-04-12,"""А"" Футболна група - втори етап",Румен Руменов,0
148,ЦСКА (София),1,3,loss,Елин Топузаков,False,"['Омар Косоко', 'Радослав Цонев', 'Иван Стоянов', 'Иван Маркович']",2014-04-21,"""А"" Футболна група - втори етап",Радослав Цонев,0
149,Ботев (Пловдив),0,2,loss,Елин Топузаков,False,,2014-04-26,"""А"" Футболна група - втори етап",,0
150,Локомотив 1926 (Пловдив),2,1,win,Елин Топузаков,True,"['Цветан Генков', 'Валери Божинов', 'Мартин Камбуров']",2014-05-01,"""А"" Футболна група - втори етап",Мартин Камбуров,0
151,Черно море (Варна),2,1,win,Елин Топузаков,False,"['Владимир Гаджев', 'Валери Домовчийски', 'Валери Божинов']",2014-05-07,"""А"" Футболна група - втори етап",Валери Божинов,0
152,Лудогорец 1945 (Разград),2,3,loss,Елин Топузаков,True,"['Валери Божинов', 'Себастиан Ернандес', 'Христо Златински', 'Жуниньо Кишада', 'Дани Абало', 'Валери Божинов']",2014-05-11,"""А"" Футболна група - втори етап",Валери Божинов,0
153,Литекс (Ловеч),1,0,win,Елин Топузаков,False,"['Валери Божинов', 'Вилмар Хордан Хил']",2014-05-17,"""А"" Футболна група - втори етап",Валери Божинов,0
